                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3291,                 2.9523,                 1.3315,                0.00417,                      1,                0.33721,                0.21959,                0.73202,                 2.9855,                 1.1518,                 0.0775,                 0.0025,                 0.0025
                      1,                0.95848,                 2.0878,                 1.0602,                0.63592,                0.71429,                0.70843,                0.50534,                0.78006,                  2.292,                 1.0942,                0.05405,              0.0050495,              0.0050495
                      2,                 0.9778,                 1.4422,                 1.0355,                0.73779,                0.54286,                 0.6567,                0.42948,                0.95979,                 2.3201,                  1.237,               0.030548,              0.0075475,              0.0075475
                      3,                 1.0188,                 1.3915,                 1.0801,                0.77905,                    0.6,                0.74014,                0.49894,                0.94883,                 2.0946,                 1.1809,               0.009703,               0.009703,               0.009703
                      4,                 0.9548,                 1.3487,                 1.0688,                0.74463,                0.83323,                0.83265,                0.49707,                 1.1604,                 1.7724,                 1.4731,               0.009703,               0.009703,               0.009703
                      5,                0.92965,                 1.1851,                 1.0644,                0.74934,                0.59796,                0.65148,                0.38765,                 1.3168,                 2.2116,                  1.794,               0.009604,               0.009604,               0.009604
                      6,                0.92324,                 1.1665,                 1.0856,                0.66946,                0.42857,                0.50058,                  0.309,                 1.6737,                 2.3892,                 2.2835,               0.009505,               0.009505,               0.009505
                      7,                 0.9809,                 1.1184,                 1.0949,                0.79236,                0.88571,                0.88048,                0.65398,                0.80828,                 1.3233,                 1.1088,               0.009406,               0.009406,               0.009406
                      8,                0.92226,                 1.0208,                 1.0692,                0.81687,                0.76485,                 0.8525,                0.61919,                0.84923,                 1.4367,                 1.1515,               0.009307,               0.009307,               0.009307
                      9,                0.96905,                0.99684,                 1.0892,                0.86794,                0.77143,                0.87019,                0.59782,                 1.0619,                 1.3006,                 1.3875,               0.009208,               0.009208,               0.009208
                     10,                0.94299,                0.97814,                 1.0829,                0.84188,                0.76083,                0.82475,                0.55774,                  1.105,                 1.4396,                 1.3719,               0.009109,               0.009109,               0.009109
                     11,                 0.9083,                0.93856,                 1.0594,                0.74901,                0.91429,                0.90396,                0.69895,                0.76979,                0.99137,                 1.1013,                0.00901,                0.00901,                0.00901
                     12,                0.91409,                0.85981,                 1.0552,                0.80822,                0.91429,                0.91231,                0.70936,                0.73719,                0.94419,                  1.095,               0.008911,               0.008911,               0.008911
                     13,                0.90894,                 0.8828,                 1.0624,                0.84901,                0.96405,                0.94781,                0.74972,                0.72903,                0.80689,                 1.0972,               0.008812,               0.008812,               0.008812
                     14,                0.89671,                0.83716,                 1.0467,                0.95696,                0.88571,                0.96593,                0.73554,                0.73789,                 0.9312,                 1.0637,               0.008713,               0.008713,               0.008713
                     15,                0.88076,                0.79823,                 1.0711,                0.92834,                0.94286,                0.96501,                0.76584,                0.74441,                0.72414,                 1.0811,               0.008614,               0.008614,               0.008614
                     16,                0.89742,                0.77181,                 1.0678,                0.94125,                0.94286,                0.96873,                0.77336,                 0.7899,                0.78026,                 1.0814,               0.008515,               0.008515,               0.008515
                     17,                 0.8583,                0.75733,                 1.0361,                0.86444,                0.91429,                0.93339,                0.67652,                 1.0131,                0.83305,                 1.2866,               0.008416,               0.008416,               0.008416
                     18,                0.84575,                0.73301,                 1.0287,                0.84989,                0.97058,                0.94691,                0.73052,                0.76091,                0.77187,                 1.0379,               0.008317,               0.008317,               0.008317
                     19,                0.84127,                 0.7115,                 1.0445,                0.59957,                0.82857,                0.69154,                0.35322,                 1.5623,                  1.682,                 2.0025,               0.008218,               0.008218,               0.008218
                     20,                0.89053,                0.72801,                 1.0618,                0.91584,                0.93295,                0.92634,                0.74744,                0.73693,                 0.7847,                 1.0826,               0.008119,               0.008119,               0.008119
                     21,                0.83755,                0.65806,                 1.0257,                0.91041,                0.94286,                0.96603,                0.78472,                0.71318,                0.73482,                 1.0192,                0.00802,                0.00802,                0.00802
